Municipios,Ocupación_CIUO,Cargo_identificado,Nivel_educativo,programas_formar_esta_ocupación,instituciones_que_ofrecen_ programa,Nivel_formación,Municipios_programa,Brecha_cantidad
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,TÉCNICO;TÉCNICO EN SISTEMAS;,TÉCNICO EN SISTEMAS,,TÉCNICO,BUCARAMANGA,TÉCNICO;TÉCNICO EN SISTEMAS;
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,TECNÓLOGO;TECNÓLOGO EN SISTEMAS DE INFORMACIÓN;TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES;,TECNOLOGÍA EN DESARROLLO DE SISTEMAS INFORMÁTICOS,UNIDADES TECNOLÓGICAS DE SANTANDER,TECNÓLOGO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,TECNÓLOGO;TECNÓLOGO EN SISTEMAS DE INFORMACIÓN;TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES;,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNÓLOGO,BARRANQUILLA,NO EXISTE BRECHA DE CANTIDAD
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,TECNÓLOGO;TECNÓLOGO EN SISTEMAS DE INFORMACIÓN;TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES;,TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES,,TECNÓLOGO,BUCARAMANGA,TECNÓLOGO;TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES;
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,TECNÓLOGO;TECNÓLOGO EN SISTEMAS DE INFORMACIÓN;TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES;,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNÓLOGO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,TECNÓLOGO;TECNÓLOGO EN SISTEMAS DE INFORMACIÓN;TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES;,TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES,,TECNÓLOGO,BARRANQUILLA,TECNÓLOGO;TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES;
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,TECNÓLOGO;TECNÓLOGO EN SISTEMAS DE INFORMACIÓN;TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES;,TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES,,TECNÓLOGO,BOGOTÁ,TECNÓLOGO;TECNÓLOGO EN ADMINISTRACIÓN DE SERVIDORES;
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA DE SOFTWARE;CURSOS DE IMPRESORAS;CABLEADO;CURSOS EN TELECOMUNICACIONES,INGENIERÍA DE SOFTWARE,;UNIVERSIDAD INDUSTRIAL DE SANTANDER;UNIVERSIDAD SANTO TOMÁS;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD AUTÓNOMA DE BUCARAMANGA-UNAB-;CORPORACIÓN UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA;UNIVERSIDAD DE SAN,UNIVERSITARIO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA DE SOFTWARE;CURSOS DE IMPRESORAS;CABLEADO;CURSOS EN TELECOMUNICACIONES,INGENIERÍA DE SOFTWARE,,UNIVERSITARIO,BARRANQUILLA,UNIVERSITARIO;INGENIERÍA DE SOFTWARE;
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA DE SOFTWARE;CURSOS DE IMPRESORAS;CABLEADO;CURSOS EN TELECOMUNICACIONES,INGENIERÍA DE SISTEMAS,UNIVERSIDAD DEL NORTE;UNIVERSIDAD AUTÓNOMA DEL CARIBE- UNIAUTÓNOMA;UNIVERSIDAD LIBRE;UNIVERSIDAD SIMON BOLIVAR;CORPORACIÓN UNIVERSITARIA EMPRESARIAL DE SALAMANCA;CORPORACIÓN UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE;CORPORACIÓN POLITÉCNICO DE LA CO,UNIVERSITARIO,BARRANQUILLA,NO EXISTE BRECHA DE CANTIDAD
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA DE SOFTWARE;CURSOS DE IMPRESORAS;CABLEADO;CURSOS EN TELECOMUNICACIONES,INGENIERÍA DE SISTEMAS,UNIVERSIDAD INDUSTRIAL DE SANTANDER;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD AUTÓNOMA DE BUCARAMANGA-UNAB-;CORPORACIÓN UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA;CORPORACIÓN UNIVERSIDAD DE INVESTIGACIÓN Y,UNIVERSITARIO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA DE SOFTWARE;CURSOS DE IMPRESORAS;CABLEADO;CURSOS EN TELECOMUNICACIONES,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD INCCA DE COLOMBIA;FUNDACIÓN UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;UNIVERSIDAD CENTRAL;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERS,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BARRANQUILLA;BOGOTÁ;BUCARAMANGA,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,COORDINADOR DE SISTEMAS,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA DE SOFTWARE;CURSOS DE IMPRESORAS;CABLEADO;CURSOS EN TELECOMUNICACIONES,INGENIERÍA DE SOFTWARE,;UNIVERSIDAD MANUELA BELTRAN-UMB-;UNIVERSIDAD DE LA SALLE;UNIVERSIDAD LIBRE;UNIVERSIDAD DE LOS ANDES;CORPORACIÓN UNIVERSIDAD PILOTO DE COLOMBIA;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD ANTONIO NARIÑO;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD;,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
MEDELLÍN,2513. DESARROLLADORES WEB Y MULTIMEDIA,CREADOR DE CONTENIDOS,POSGRADO;LENGUAJES DE PROGRAMACIÓN;PROGRAMAS DESARROLLO ARTIFICIAL;,ESPECIALIZACIÓN EN PROGRAMACIÓN APLICADA,INSTITUCIÓN UNIVERSITARIA DIGITAL DE ANTIOQUIA -IU. DIGITAL,POSGRADO,MEDELLÍN,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN,2513. DESARROLLADORES WEB Y MULTIMEDIA,CREATIVO,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO WEB;,TECNOLOGÍA EN DESARROLLO WEB,,TECNÓLOGO,BOGOTÁ,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO WEB;
BOGOTÁ;MEDELLÍN,2513. DESARROLLADORES WEB Y MULTIMEDIA,CREATIVO,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO WEB;,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,FUNDACIÓN UNIVERSITARIA CATOLICA DEL NORTE,TECNÓLOGO,MEDELLÍN,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TÉCNICO;TÉCNICO EN SISTEMAS,TÉCNICO LABORAL EN SISTEMAS INFORMÁTICOS,CENTRO DE INFORMÁTICA DEL CARIBE;CENTRO INCA LTDA;INSTITUTO CENTRO DE SISTEMAS S.A.S;INSTITUTO TÉCNICO DE ADMINISTRACIÓN Y SALUDINCATEC,TÉCNICO,BARRANQUILLA,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TÉCNICO;TÉCNICO EN SISTEMAS,TÉCNICO EN SISTEMAS,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TÉCNICO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TÉCNICO;TÉCNICO EN SISTEMAS,TÉCNICO EN SISTEMAS,,TÉCNICO,ARMENIA,TÉCNICO;TÉCNICO EN SISTEMAS;
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TÉCNICO;TÉCNICO EN SISTEMAS,AUXILIAR DE SISTEMAS INFORMÁTICOS,CENTRO DE CAPACITACIÓN DON BOSCO;INSTITUTO POLITÉCNICO DE OCCIDENTE,TÉCNICO,CALI,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TÉCNICO;TÉCNICO EN SISTEMAS,TÉCNICO EN SISTEMAS,TECNOLÓGICO DE ANTIOQUIA,TÉCNICO,MEDELLÍN,TECNÓLOGO;ANALÍTICA;
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TÉCNICO;TÉCNICO EN SISTEMAS,TÉCNICO EN SISTEMAS,,TÉCNICO,PEREIRA,TÉCNICO;TÉCNICO EN SISTEMAS;POSGRADO;GESTION DE PROYECTOS TI;METODOLOGÍAS ÁGILES;SEGURIDAD DE SOFTWARE
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TÉCNICO;TÉCNICO EN SISTEMAS,TÉCNICO EN SISTEMAS,,TÉCNICO,MANIZALES,TÉCNICO;TÉCNICO EN SISTEMAS;TÉCNICO;TÉCNICO EN ANÁLISIS DE REQUERIMIENTOS;TECNÓLOGO EN ANÁLISIS DE REQUERIMIENTOS;
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNÓLOGO,BARRANQUILLA,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,FUNDACIÓN UNIVERSITARIA CATOLICA DEL NORTE,TECNÓLOGO,MEDELLÍN,TECNÓLOGO;ANALÍTICA;
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,CORPORACIÓN UNIVERSITARIA EMPRESARIAL DE SALAMANCA;CORPORACIÓN UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE;CORPORACIÓN POLITÉCNICO DE LA COSTA ATLANTICA,TECNÓLOGO,BARRANQUILLA,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,UNIVERSIDAD DE SAN BUENAVENTURA,TECNÓLOGO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,POLITÉCNICO GRANCOLOMBIANO;INSTITUCIÓN UNIVERSITARIASALAZAR Y HERRERA;TECNOLÓGICO DE ANTIOQUIA;SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNÓLOGO,MEDELLÍN,TECNÓLOGO;ANALÍTICA;
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN DESARROLLO DE SISTEMAS INFORMÁTICOS,UNIDADES TECNOLÓGICAS DE SANTANDER,TECNÓLOGO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA DE DESARROLLO DE SOFTWARE,UNIDADES TECNOLÓGICAS DE SANTANDER,TECNÓLOGO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNÓLOGO,ARMENIA,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,,TECNÓLOGO,ARMENIA,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN,,TECNÓLOGO,PEREIRA,TECNÓLOGO;TECNOLOGÍA EN SISTEMAS DE INFORMACION;POSGRADO;GESTION DE PROYECTOS TI;METODOLOGÍAS ÁGILES;SEGURIDAD DE SOFTWARE
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,SERVICIO NACIONAL DE APRENDIZAJE-SENA-;UNIVERSIDAD AUTÓNOMA DE MANIZALES;UNIVERSIDAD DE CALDAS,TECNÓLOGO,MANIZALES,TÉCNICO;TÉCNICO EN ANÁLISIS DE REQUERIMIENTOS;TECNÓLOGO EN ANÁLISIS DE REQUERIMIENTOS;
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,UNIVERSIDAD DE SAN BUENAVENTURA;FUNDACIÓN UNIVERSITARIA CATOLICA LUMEN GENTIUM;CORPORACIÓN UNIVERSITARIA PARA EL DESARROLLO EMPRESARIAL Y SOCIAL- CUDES,TECNÓLOGO,CALI,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNÓLOGO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,UNIVERSIDAD TECNOLÓGICA DE PEREIRA - UTP;UNIVERSIDAD CATOLICA DE PEREIRA;FUNDACIÓN UNIVERSITARIA DEL ÁREA ANDINA,TECNÓLOGO,PEREIRA,POSGRADO;GESTION DE PROYECTOS TI;METODOLOGÍAS ÁGILES;SEGURIDAD DE SOFTWARE
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN,"UNIVERSIDAD DEL VALLE;UNIVERSIDAD SANTIAGO DE CALI;INSTITUCIÓN UNIVERSITARIA ANTONIO JOSE CAMACHO;FUNDACIÓN CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",TECNÓLOGO,CALI,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TECNOLOGÍA SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,,TECNÓLOGO,MANIZALES,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;TÉCNICO;TÉCNICO EN ANÁLISIS DE REQUERIMIENTOS;TECNÓLOGO EN ANÁLISIS DE REQUERIMIENTOS;
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,UNIVERSITARIO;INGENIERÍA DE SISTEMAS; INGENIERÍA MECATRÓNICA;INGENIERÍA ELECTRÓNICA;BIG DATA;INTENET DE LAS COSAS;,INGENIERÍA MECATRÓNICA,,UNIVERSITARIO,BARRANQUILLA,UNIVERSITARIO;INGENIERÍA MECATRÓNICA;
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,UNIVERSITARIO;INGENIERÍA DE SISTEMAS; INGENIERÍA MECATRÓNICA;INGENIERÍA ELECTRÓNICA;BIG DATA;INTENET DE LAS COSAS;,INGENIERÍA MECATRÓNICA,,UNIVERSITARIO,BOGOTÁ,UNIVERSITARIO;INGENIERÍA MECATRÓNICA;
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,UNIVERSITARIO;INGENIERÍA DE SISTEMAS; INGENIERÍA MECATRÓNICA;INGENIERÍA ELECTRÓNICA;BIG DATA;INTENET DE LAS COSAS;,INGENIERÍA ELECTRÓNICA,CORPORACIÓN UNIFICADA NACIONAL DE EDUCACIÓN SUPERIOR-CUN-;ESCUELA COLOMBIANA DE INGENIERÍA JULIO GARAVITO;FUNDACIÓN UNIVERSITARIA LOS LIBERTADORES;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD;UNIVERSIDAD ANTONIO NARI¿O;UNIVERSIDAD COOPERATIVA DE COLOMB,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,UNIVERSITARIO;INGENIERÍA DE SISTEMAS; INGENIERÍA MECATRÓNICA;INGENIERÍA ELECTRÓNICA;BIG DATA;INTENET DE LAS COSAS;,INGENIERÍA ELECTRÓNICA,UNIVERSIDAD AUTÓNOMA DEL CARIBE- UNIAUTÓNOMA,UNIVERSITARIO,BARRANQUILLA,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,UNIVERSITARIO;INGENIERÍA DE SISTEMAS; INGENIERÍA MECATRÓNICA;INGENIERÍA ELECTRÓNICA;BIG DATA;INTENET DE LAS COSAS;,INGENIERÍA MECATRÓNICA,,UNIVERSITARIO,MEDELLÍN,UNIVERSITARIO;INGENIERÍA MECATRÓNICA;TECNÓLOGO;ANALÍTICA;
BOGOTÁ;MEDELLÍN;BUCARAMANGA;BARRANQUILLA;MANIZALES;ARMENIA;PEREIRA;CALI,2512. DESARROLLADORES DE SOFTWARE,DESARROLLADOR,UNIVERSITARIO;INGENIERÍA DE SISTEMAS; INGENIERÍA MECATRÓNICA;INGENIERÍA ELECTRÓNICA;BIG DATA;INTENET DE LAS COSAS;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD DEL NORTE;UNIVERSIDAD AUTÓNOMA DEL CARIBE- UNIAUTÓNOMA;UNIVERSIDAD LIBRE;UNIVERSIDAD SIMON BOLIVAR;CORPORACIÓN UNIVERSITARIA EMPRESARIAL DE SALAMANCA;CORPORACIÓN UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE;CORPORACIÓN POLITÉCNICO DE LA CO,UNIVERSITARIO,BARRANQUILLA,NO EXISTE BRECHA DE CANTIDAD
