Municipios,Ocupación_CIUO,Cargo_identificado,Nivel_educativo,programas_formar_esta_ocupación,instituciones_que_ofrecen_ programa,Nivel_formación,Municipios_programa,Brecha_cantidad
BOGOTÁ;MEDELLÍN;BUCARAMANGA,2519. DESARROLLADORES Y ANALISTAS DE SOFTWARE Y MULTIMEDIA NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE PLATAFORMAS,TECNÓLOGO;TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN DESARROLLO DE SISTEMAS INFORMÁTICOS,UNIDADES TECNOLÓGICAS DE SANTANDER,TECNÓLOGO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA,2519. DESARROLLADORES Y ANALISTAS DE SOFTWARE Y MULTIMEDIA NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE PLATAFORMAS,TECNÓLOGO;TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNÓLOGO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
CALI;MANIZALES,2511. ANALISTAS DE SISTEMAS,ANALISTA DE CALIDAD,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;CURSO EN IONIC;CURSO EN ANGULAR;CURSO EN SWIFT;CURSO EN JAVA;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD DE CALDAS;UNIVERSIDAD DE MANIZALES;UNIVERSIDAD AUTÓNOMA DE MANIZALES;UNIVERSIDAD CATOLICA LUIS AMIGO-FUNLAM,UNIVERSITARIO,MANIZALES,UNIVERSITARIO;NO DEFINIDO;
MEDELLÍN;BOGOTÁ,2511. ANALISTAS DE SISTEMAS,ANALISTA DE DATOS,TÉCNICO;TÉCNICO EN SISTEMAS;PLATAFORMAS SAS;PLATAFORMAS IAS;,TÉCNICO EN SISTEMAS,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TÉCNICO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA,2519. DESARROLLADORES Y ANALISTAS DE SOFTWARE Y MULTIMEDIA NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO;INGENIERÍA ELECTRÓNICA;INGENIERÍA DE SISTEMAS;CERTIFICACIÓN EN CISCO;CERTIFICACIÓN JUNIPER;CERTIFICACIÓN FORTINET;CERTIFICACIÓN VMWARE;CERTIFICACIONES EN LAS MARCAS DE LOS EQUIPOS  DEPENDIENDO DE LAS NECESIDADES;CURSO EN SERVICIO AL CLIENTE;,INGENIERÍA ELECTRÓNICA,INSTITUCIÓN UNIVERSITARIA DE ENVIGADO;INSTITUCIÓN UNIVERSITARIA  SALAZAR Y HERRERA;INSTITUTO TECNOLÓGICO METROPOLITANO;UNIVERSIDAD DE ANTIOQUIA;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD DE MEDELLIN;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERSIDAD CATOLICA,UNIVERSITARIO,MEDELLÍN,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA,2519. DESARROLLADORES Y ANALISTAS DE SOFTWARE Y MULTIMEDIA NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO;INGENIERÍA ELECTRÓNICA;INGENIERÍA DE SISTEMAS;CERTIFICACIÓN EN CISCO;CERTIFICACIÓN JUNIPER;CERTIFICACIÓN FORTINET;CERTIFICACIÓN VMWARE;CERTIFICACIONES EN LAS MARCAS DE LOS EQUIPOS  DEPENDIENDO DE LAS NECESIDADES;CURSO EN SERVICIO AL CLIENTE;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DE ANTIOQUIA;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD EAFIT-;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERSIDAD DE MEDELLIN;UNIVERSIDAD CATOLICA LUIS AMIGO-FUNLAM;POLITÉCNICO GRANCOLOMBIANO;INSTITUCIÓN UNIVERSIT,UNIVERSITARIO,MEDELLÍN,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA,2519. DESARROLLADORES Y ANALISTAS DE SOFTWARE Y MULTIMEDIA NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO;INGENIERÍA ELECTRÓNICA;INGENIERÍA DE SISTEMAS;CERTIFICACIÓN EN CISCO;CERTIFICACIÓN JUNIPER;CERTIFICACIÓN FORTINET;CERTIFICACIÓN VMWARE;CERTIFICACIONES EN LAS MARCAS DE LOS EQUIPOS  DEPENDIENDO DE LAS NECESIDADES;CURSO EN SERVICIO AL CLIENTE;,INGENIERÍA ELECTRÓNICA,UNIVERSIDAD INDUSTRIAL DE SANTANDER;UNIVERSIDAD PONTIFICIA BOLIVARIANA;CORPORACIÓN UNIVERSIDAD DE INVESTIGACIÓN Y DESARROLLO -UDI;UNIDADES TECNOLÓGICAS DE SANTANDER,UNIVERSITARIO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA,2519. DESARROLLADORES Y ANALISTAS DE SOFTWARE Y MULTIMEDIA NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO;INGENIERÍA ELECTRÓNICA;INGENIERÍA DE SISTEMAS;CERTIFICACIÓN EN CISCO;CERTIFICACIÓN JUNIPER;CERTIFICACIÓN FORTINET;CERTIFICACIÓN VMWARE;CERTIFICACIONES EN LAS MARCAS DE LOS EQUIPOS  DEPENDIENDO DE LAS NECESIDADES;CURSO EN SERVICIO AL CLIENTE;,INGENIERÍA ELECTRÓNICA,CORPORACIÓN UNIFICADA NACIONAL DE EDUCACIÓN SUPERIOR-CUN-;ESCUELA COLOMBIANA DE INGENIERÍA JULIO GARAVITO;FUNDACIÓN UNIVERSITARIA LOS LIBERTADORES;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD;UNIVERSIDAD ANTONIO NARI¿O;UNIVERSIDAD COOPERATIVA DE COLOMB,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA,2519. DESARROLLADORES Y ANALISTAS DE SOFTWARE Y MULTIMEDIA NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO;INGENIERÍA ELECTRÓNICA;INGENIERÍA DE SISTEMAS;CERTIFICACIÓN EN CISCO;CERTIFICACIÓN JUNIPER;CERTIFICACIÓN FORTINET;CERTIFICACIÓN VMWARE;CERTIFICACIONES EN LAS MARCAS DE LOS EQUIPOS  DEPENDIENDO DE LAS NECESIDADES;CURSO EN SERVICIO AL CLIENTE;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD INDUSTRIAL DE SANTANDER;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD AUTÓNOMA DE BUCARAMANGA-UNAB-;CORPORACIÓN UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA;CORPORACIÓN UNIVERSIDAD DE INVESTIGACIÓN Y,UNIVERSITARIO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA,2519. DESARROLLADORES Y ANALISTAS DE SOFTWARE Y MULTIMEDIA NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO;INGENIERÍA ELECTRÓNICA;INGENIERÍA DE SISTEMAS;CERTIFICACIÓN EN CISCO;CERTIFICACIÓN JUNIPER;CERTIFICACIÓN FORTINET;CERTIFICACIÓN VMWARE;CERTIFICACIONES EN LAS MARCAS DE LOS EQUIPOS  DEPENDIENDO DE LAS NECESIDADES;CURSO EN SERVICIO AL CLIENTE;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD INCCA DE COLOMBIA;FUNDACIÓN UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;UNIVERSIDAD CENTRAL;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERS,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
